lyn index =  5
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
0 912.0 -3.05978684445e+13 0.000247742649657
1 911.977734751 -3.05986154684e+13 0.000247728920223
2 911.955469501 -3.05993625288e+13 0.000247715191215
3 911.933204252 -3.06001096257e+13 0.000247701462632
4 911.910939003 -3.0600856759e+13 0.000247687734476
5 911.888673754 -3.06016039289e+13 0.000247674006745
6 911.866408504 -3.06023511352e+13 0.000247660279439
7 911.844143255 -3.0603098378e+13 0.00024764655256
8 911.821878006 -3.06038456573e+13 0.000247632826106
9 911.799612756 -3.06045929731e+13 0.000247619100077
10 911.777347507 -3.06053403254e+13 0.000247605374475
11 911.755082258 -3.06060877142e+13 0.000247591649298
12 911.732817009 -3.06068351395e+13 0.000247577924546
13 911.710551759 -3.06075826013e+13 0.000247564200221
14 911.68828651 -3.06083300997e+13 0.000247550476321
15 911.666021261 -3.06090776345e+13 0.000247536752846
16 911.643756011 -3.06098252058e+13 0.000247523029798
17 911.621490762 -3.06105728137e+13 0.000247509307175
18 911.599225513 -3.06113204581e+13 0.000247495584977
19 911.576960264 -3.0612068139e+13 0.000247481863205
20 911.554695014 -3.06128158564e+13 0.000247468141859
21 911.532429765 -3.06135636104e+13 0.000247454420939
22 911.510164516 -3.06143114009e+13 0.000247440700444
23 911.487899267 -3.06150592279e+13 0.000247426980375
24 911.465634017 -3.06158070915e+13 0.000247413260731
25 911.443368768 -3.06165549916e+13 0.000247399541513
26 911.421103519 -3.06173029282e+13 0.000247385822721
27 911.398838269 -3.06180509014e+13 0.000247372104354
28 911.37657302 -3.06187989111e+13 0.000247358386413
29 911.354307771 -3.06195469574e+13 0.000247344668897
30 911.332042522 -3.06202950402e+13 0.000247330951807
31 911.309777272 -3.06210431596e+13 0.000247317235143
32 911.287512023 -3.06217913155e+13 0.000247303518904
33 911.265246774 -3.0622539508e+13 0.000247289803091
34 911.242981524 -3.06232877371e+13 0.000247276087704
35 911.220716275 -3.06240360027e+13 0.000247262372742
36 911.198451026 -3.06247843049e+13 0.000247248658206
37 911.176185777 -3.06255326437e+13 0.000247234944095
38 911.153920527 -3.0626281019e+13 0.00024722123041
39 911.131655278 -3.06270294309e+13 0.00024720751715
40 911.109390029 -3.06277778794e+13 0.000247193804316
41 911.087124779 -3.06285263645e+13 0.000247180091908
42 911.06485953 -3.06292748862e+13 0.000247166379925
43 911.042594281 -3.06300234444e+13 0.000247152668368
44 911.020329032 -3.06307720393e+13 0.000247138957236
45 910.998063782 -3.06315206707e+13 0.00024712524653
46 910.975798533 -3.06322693387e+13 0.00024711153625
47 910.953533284 -3.06330180433e+13 0.000247097826395
