lyn index =  26
input velocity PDF from ...  output/f_v12_01.out
computing the optical depth from Lya-absorbing clouds ...
0 912.0 -3.00117773476e+13 0.00239276154083
1 911.797643282 -3.00184379097e+13 0.00194054335244
2 911.595286564 -3.00251014288e+13 0.00164492433061
3 911.392929847 -3.0031767907e+13 0.00145956738749
4 911.190573129 -3.00384373461e+13 0.0013442410109
5 910.988216411 -3.00451097481e+13 0.00127082887222
6 910.785859693 -3.00517851151e+13 0.00122209266777
7 910.583502975 -3.0058463449e+13 0.001188225431
8 910.381146258 -3.00651447518e+13 0.00116375266576
9 910.17878954 -3.00718290254e+13 0.00114553645718
10 909.976432822 -3.00785162718e+13 0.0011316711093
11 909.774076104 -3.00852064931e+13 0.00112092344226
12 909.571719386 -3.00918996912e+13 0.00111245307485
13 909.369362669 -3.00985958681e+13 0.00110566661488
14 909.167005951 -3.01052950258e+13 0.00110013565478
15 908.964649233 -3.01119971663e+13 0.00109554674255
16 908.762292515 -3.01187022915e+13 0.00109166866936
17 908.559935797 -3.01254104035e+13 0.00108833008942
18 908.35757908 -3.01321215042e+13 0.00108540365659
19 908.155222362 -3.01388355957e+13 0.00108279452664
20 907.952865644 -3.014555268e+13 0.00108043197756
21 907.750508926 -3.0152272759e+13 0.00107826318093
22 907.548152208 -3.01589958348e+13 0.0010762486063
23 907.345795491 -3.01657219094e+13 0.00107435859224
24 907.143438773 -3.01724509847e+13 0.00107257079409
25 906.941082055 -3.01791830628e+13 0.00106789097629
26 906.738725337 -3.01859181457e+13 0.00104113354663
27 906.53636862 -3.01926562355e+13 0.00104054386694
28 906.334011902 -3.0199397334e+13 0.00103995508667
29 906.131655184 -3.02061414434e+13 0.0010393665227
30 905.929298466 -3.02128885656e+13 0.0010387781738
31 905.726941748 -3.02196387027e+13 0.00103819003948
32 905.524585031 -3.02263918567e+13 0.00103760211881
33 905.322228313 -3.02331480296e+13 0.00103701441184
34 905.119871595 -3.02399072234e+13 0.001036426919
35 904.917514877 -3.02466694402e+13 0.00103583963902
36 904.715158159 -3.0253434682e+13 0.0010352525728
37 904.512801442 -3.02602029509e+13 0.00103466571939
38 904.310444724 -3.02669742488e+13 0.00103407907962
39 904.108088006 -3.02737485777e+13 0.00103349265293
40 903.905731288 -3.02805259399e+13 0.00103290644007
41 903.70337457 -3.02873063371e+13 0.00103232044087
42 903.501017853 -3.02940897716e+13 0.00103173465516
43 903.298661135 -3.03008762454e+13 0.00103114908338
44 903.096304417 -3.03076657604e+13 0.00103056372503
45 902.893947699 -3.03144583187e+13 0.00102997858036
46 902.691590981 -3.03212539225e+13 0.00102939364905
47 902.489234264 -3.03280525736e+13 0.00102880893086
